1	867	724	192	710	1000
2	295	847	427	532	943
3	254	885	46	396	635
4	55	940	317	451	455
5	65	109	245	260	839
6	333	891	615	495	971
7	184	803	428	176	869
8	674	681	817	467	221
9	915	847	504	207	532
10	872	189	551	104	753
11	560	961	98	391	17
12	108	90	170	982	910
13	34	356	961	370	602
14	406	828	518	103	433
15	545	236	189	127	425
16	532	847	720	177	674
17	560	901	555	98	773
18	93	17	189	555	872
19	803	129	60	562	398
20	803	841	453	634	100
21	551	84	159	926	269
22	753	845	856	151	645
23	340	151	37	425	657
24	189	870	125	282	518
25	149	708	93	316	18
26	127	658	189	37	121
27	354	455	304	4	940
28	803	706	91	835	84
29	91	176	606	803	498
30	909	660	569	795	501
31	667	934	696	792	947
32	540	342	845	94	45
33	220	804	649	819	155
34	519	961	582	642	248
35	927	948	314	149	607
36	180	832	719	750	924
37	753	538	151	340	845
38	909	868	768	783	106
39	789	574	777	99	859
40	952	530	961	201	620
41	952	506	228	654	612
42	98	845	45	189	596
43	532	847	63	593	534
44	99	400	50	707	181
45	845	594	977	98	872
46	934	454	541	667	566
47	690	299	635	885	254
48	358	606	765	156	167
49	350	980	676	274	75
50	98	372	713	44	679
51	647	613	400	424	451
52	242	294	295	718	137
53	718	303	431	224	937
54	533	875	37	55	65
55	455	181	317	4	304
56	558	733	771	948	1
57	2	3	4	5	6
58	224	79	715	937	137
59	452	342	926	82	87
60	803	882	649	129	309
61	321	277	710	580	1000
62	180	406	491	14	276
63	847	532	534	483	887
64	748	482	886	78	368
65	508	934	905	485	424
66	90	279	909	783	942
67	103	820	433	533	240
68	845	222	115	759	657
69	106	226	534	839	63
70	451	613	820	449	534
71	321	803	277	797	593
72	2	3	4	5	6
73	331	709	204	607	480
74	457	560	952	98	391
75	350	894	830	185	920
76	519	189	708	845	341
77	2	3	4	5	6
78	748	64	461	204	482
79	681	779	181	765	674
80	542	532	676	427	598
81	4	62	820	14	830
82	584	223	844	59	925
83	17	560	845	45	726
84	551	926	878	28	908
85	602	595	314	948	337
86	176	363	803	522	563
87	934	342	59	927	454
88	641	838	156	294	145
89	210	450	787	359	819
90	990	279	12	851	199
91	803	28	772	355	606
92	642	708	189	722	149
93	18	872	520	189	136
94	671	910	659	940	980
95	847	532	795	295	43
96	908	358	551	84	663
97	2	3	4	5	6
98	372	901	560	17	45
99	937	304	55	455	719
100	803	634	841	504	105
101	2	3	4	5	6
102	663	342	539	452	533
103	828	750	651	391	14
104	924	658	832	750	721
105	504	100	553	63	659
106	69	868	226	909	953
107	597	667	252	965	792
108	12	73	910	959	709
109	839	868	106	909	795
110	795	285	941	973	597
111	451	820	696	923	934
112	393	199	558	153	882
113	2	3	4	5	6
114	2	3	4	5	6
115	657	340	17	222	189
116	406	185	798	533	875
117	844	813	868	602	448
118	340	680	721	812	37
119	926	342	850	663	336
120	923	647	289	449	283
121	651	103	406	578	271
122	524	165	176	284	841
123	885	703	299	771	261
124	882	677	60	595	759
125	952	620	408	92	693
126	560	17	726	244	555
127	966	755	173	521	255
128	185	98	961	372	803
129	803	740	570	198	476
